epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.0332,1.31234,2.8645,1.24646,0.02434,0.40875,0.07808,0.0514,1.25234,3.24805,1.18675,0.00028886,0.00028886,0.00028886
2,15.6196,1.3361,1.95791,1.30321,0.9615,0.05283,0.23336,0.11406,1.38242,2.93763,1.31193,0.000577171,0.000577171,0.000577171
3,22.1351,1.38314,1.87724,1.33152,0.81676,0.16196,0.34611,0.18814,1.50982,2.60574,1.3938,0.000853604,0.000853604,0.000853604
4,28.4345,1.38646,1.77282,1.34008,0.70455,0.38178,0.46099,0.3097,1.54472,2.04595,1.41655,0.00104501,0.00104501,0.00104501
5,34.1499,1.45578,1.73852,1.33926,0.64363,0.46858,0.52709,0.33494,1.43562,1.91887,1.37576,0.00102301,0.00102301,0.00102301
6,39.8738,1.41978,1.67753,1.31167,0.81556,0.3316,0.51818,0.31905,1.44381,1.80843,1.41498,0.00100101,0.00100101,0.00100101
7,45.7696,1.39199,1.6151,1.3176,0.58413,0.4383,0.55053,0.38076,1.57946,1.85141,1.44129,0.000979013,0.000979013,0.000979013
8,51.5879,1.35198,1.58829,1.29024,0.46239,0.63623,0.52368,0.33458,1.51581,1.59301,1.40533,0.000957015,0.000957015,0.000957015
9,57.2669,1.41329,1.63122,1.34479,0.65136,0.5393,0.60518,0.39521,1.43194,1.47339,1.35143,0.000935018,0.000935018,0.000935018
10,62.9745,1.34016,1.47237,1.29245,0.65255,0.55526,0.58935,0.38473,1.52639,1.61817,1.44304,0.00091302,0.00091302,0.00091302
11,68.656,1.33602,1.44739,1.27796,0.54801,0.55268,0.52927,0.39061,1.4028,1.49672,1.33175,0.000891022,0.000891022,0.000891022
12,74.33,1.31439,1.41745,1.27377,0.86672,0.5486,0.64703,0.42221,1.33592,1.3576,1.2805,0.000869024,0.000869024,0.000869024
13,80.154,1.28789,1.42194,1.28355,0.65445,0.58621,0.64772,0.42745,1.36165,1.34883,1.29304,0.000847026,0.000847026,0.000847026
14,85.9021,1.28593,1.40145,1.27754,0.691,0.5064,0.62561,0.44559,1.29471,1.257,1.2527,0.000825029,0.000825029,0.000825029
15,91.7873,1.27087,1.33839,1.27337,0.70694,0.56036,0.63766,0.44591,1.30358,1.27667,1.23127,0.000803031,0.000803031,0.000803031
16,97.5835,1.27436,1.34462,1.23801,0.85187,0.54118,0.65608,0.46739,1.30608,1.25743,1.25282,0.000781033,0.000781033,0.000781033
17,103.273,1.27772,1.34854,1.25187,0.74216,0.55202,0.66915,0.45748,1.27047,1.23194,1.2365,0.000759035,0.000759035,0.000759035
18,108.788,1.22849,1.27568,1.21219,0.77395,0.62001,0.6924,0.48762,1.27002,1.13359,1.21047,0.000737037,0.000737037,0.000737037
19,114.501,1.26064,1.26567,1.23161,0.68688,0.61914,0.71937,0.50085,1.19208,1.07291,1.17775,0.00071504,0.00071504,0.00071504
20,120.151,1.19481,1.20882,1.21825,0.71902,0.67255,0.75487,0.56343,1.15579,1.03098,1.17379,0.000693042,0.000693042,0.000693042
21,125.712,1.14332,1.18884,1.19177,0.81515,0.6678,0.77261,0.55716,1.14911,1.01393,1.15341,0.000671044,0.000671044,0.000671044
22,131.296,1.17326,1.17646,1.1909,0.81117,0.64533,0.75379,0.55915,1.17071,1.03664,1.16702,0.000649046,0.000649046,0.000649046
23,136.911,1.16906,1.17311,1.17834,0.80724,0.66965,0.78348,0.56924,1.15242,1.05856,1.13913,0.000627048,0.000627048,0.000627048
24,142.662,1.16955,1.09762,1.17878,0.89864,0.73165,0.80976,0.59203,1.12965,0.97486,1.1256,0.000605051,0.000605051,0.000605051
25,148.232,1.1133,1.10723,1.17732,0.71101,0.68566,0.78892,0.57295,1.08895,0.94598,1.10629,0.000583053,0.000583053,0.000583053
26,153.812,1.11866,1.07744,1.1725,0.9028,0.65677,0.82539,0.58406,1.08715,0.9063,1.10891,0.000561055,0.000561055,0.000561055
27,159.406,1.10585,1.0714,1.16025,0.68923,0.8121,0.80472,0.58078,1.0921,0.96154,1.11558,0.000539057,0.000539057,0.000539057
28,165.004,1.13031,1.06273,1.16224,0.80063,0.7882,0.80093,0.59973,1.10081,1.00965,1.12481,0.000517059,0.000517059,0.000517059
29,170.62,1.08451,1.02069,1.13443,0.75811,0.84292,0.86228,0.63805,1.05687,0.89263,1.0855,0.000495062,0.000495062,0.000495062
30,176.291,1.07236,1.062,1.14477,0.86687,0.77493,0.86405,0.63962,1.0419,0.85179,1.07203,0.000473064,0.000473064,0.000473064
31,182.013,1.03601,0.97738,1.12721,0.74752,0.8046,0.84655,0.62005,1.07515,0.87354,1.09595,0.000451066,0.000451066,0.000451066
32,187.654,1.03206,0.99658,1.11167,0.66918,0.83537,0.84214,0.61917,1.04137,0.88655,1.08117,0.000429068,0.000429068,0.000429068
33,193.335,1.05711,0.9773,1.12159,0.81127,0.7605,0.86967,0.62844,1.00974,0.83045,1.05541,0.00040707,0.00040707,0.00040707
34,199.02,1.02876,0.92399,1.09555,0.86936,0.82138,0.86056,0.60622,1.02262,0.81696,1.05814,0.000385073,0.000385073,0.000385073
35,204.724,1.06679,0.96189,1.11707,0.9185,0.79051,0.86222,0.67653,0.99457,0.78712,1.04391,0.000363075,0.000363075,0.000363075
36,210.373,1.04069,0.95031,1.09771,0.83921,0.80104,0.87712,0.65346,0.97426,0.75438,1.0366,0.000341077,0.000341077,0.000341077
37,215.991,1.01725,0.93944,1.09566,0.81844,0.87159,0.87632,0.66308,0.9803,0.74424,1.03457,0.000319079,0.000319079,0.000319079
38,221.585,1.01953,0.89137,1.09109,0.91115,0.73646,0.88752,0.68626,0.95955,0.7281,1.02787,0.000297081,0.000297081,0.000297081
39,227.11,1.02215,0.92589,1.09126,0.8465,0.80011,0.89718,0.67373,0.94122,0.71453,1.03079,0.000275084,0.000275084,0.000275084
40,232.747,0.98394,0.84125,1.06537,0.90466,0.78748,0.8897,0.69876,0.89911,0.68785,1.00275,0.000253086,0.000253086,0.000253086
41,293.999,0.97848,0.95621,1.05902,0.75966,0.84026,0.85825,0.65777,0.92575,0.7665,1.01491,0.000231088,0.000231088,0.000231088
42,299.847,0.94273,0.88991,1.04161,0.87,0.80583,0.87958,0.68842,0.91268,0.71881,1.00941,0.00020909,0.00020909,0.00020909
